id,tender_id,hospital_name,hospital_slug,entity_key,winner_name,value_ron,value_currency,value_type,award_date,niche,cpv_primary,cpv_all,created_at
69,304886-2026,Spitalul Județean de Urgență Dr.Constantin Andreoiu Ploiești,spitalul-judetean-de-urgenta-dr-constantin-andreoiu-ploiesti,ploiesti,ECO FIRE SISTEMS S.R.L. / STERILECO,3704400.0,RON,framework,2026-04-14,deseuri_medicale,90524400,"[""90524400""]",2026-05-31 02:19:35
64,236296-2026,"Institutul National de Boli Infectioase ""Prof. Dr. Matei Bals""",institutul-national-de-boli-infectioase-prof-dr-matei-bals,bucuresti,ECO FIRE SISTEMS S.R.L. / STERICYCLE ROMANIA S.R.L. / DEMECO S.R.L.,316872.0,RON,framework,2026-03-31,deseuri_medicale,90524400,"[""90524400""]",2026-05-31 02:19:33
56,160477-2026,Spital Clinic Judetean de Urgenta Arad,spital-clinic-judetean-de-urgenta-arad,arad,STERICYCLE ROMANIA S.R.L. / ECOLOGMED S.R.L. / ALVI SERV,10056446.4,RON,framework,2026-02-25,deseuri_medicale,90524400,"[""90524400""]",2026-05-31 02:19:30
63,221044-2026,SPITALUL JUDETEAN SATU MARE,spitalul-judetean-satu-mare,satu-mare,BIO PAK,3229200.0,RON,framework,2026-02-24,deseuri_medicale,90524400,"[""90524400""]",2026-05-31 02:19:32
57,163975-2026,SPITALUL JUDETEAN SATU MARE,spitalul-judetean-satu-mare,satu-mare,BIO PAK,3229200.0,RON,framework,2026-02-24,deseuri_medicale,90524400,"[""90524400""]",2026-05-31 02:19:30
52,121858-2026,Spitalul Judetean de Urgenta Slobozia,spitalul-judetean-de-urgenta-slobozia,slobozia,VIVANI SALUBRITATE,864900.0,RON,framework,2026-02-16,deseuri_medicale,90524400,"[""90524400""]",2026-05-31 02:19:29
50,111915-2026,Compania Nationala Aeroporturi Bucuresti SA,compania-nationala-aeroporturi-bucuresti-sa,bucuresti,CLEAN PREST ACTIV / BRAI-CATA S.R.L.,15509638.96,RON,single,2026-02-10,deseuri_medicale,90910000,"[""90910000"", ""90511000"", ""90512000"", ""90513000"", ""90513100"", ""90520000"", ""90900000"", ""90911200"", ""90911300"", ""90914000"", ""90918000"", ""90919200""]",2026-05-31 02:19:28
46,84903-2026,Spital Clinic Judetean de Urgenta Arad,spital-clinic-judetean-de-urgenta-arad,arad,STERICYCLE ROMANIA S.R.L. / ECOLOGMED S.R.L. / ALVI SERV,10056446.4,RON,framework,2026-01-30,deseuri_medicale,90524400,"[""90524400""]",2026-05-31 02:19:26
71,360662-2026,SPITALUL JUDETEAN TG-JIU,spitalul-judetean-tg-jiu,targu-jiu,VIVANI SALUBRITATE / STERILECO,2692800.0,RON,framework,2026-01-23,deseuri_medicale,90524000,"[""90524000""]",2026-05-31 02:19:35
67,277632-2026,SPITALUL JUDETEAN DE URGENTA VALCEA,spitalul-judetean-de-urgenta-valcea,valcea,STERILECO,1368583.2,RON,framework,2026-01-22,deseuri_medicale,90524400,"[""90524400""]",2026-05-31 02:19:34
