id_anunt,autoritate,castigator,valoare_ron,data,motiv_excludere
CAN1033894,Administratia Serviciilor Sociale Comunitare Ploiesti,ACTIS DISTRIBUTION S.R.L.,25210,2020-05-18,autoritate non-spital
SCN1065408,Regia Autonoma Monetaria Statului,SC ENVIRO ECO BUSINESS SRL,216000,2020-06-30,autoritate non-spital
SCN1065577,Directia Generala de Asistenta Sociala si Protectia Copilului Timis,SC PRO AIR CLEAN ECOLOGIC SA,341339,2020-07-02,autoritate non-spital
SCN1066078,DIRECTIA GENERALA DE ASISTENTA SOCIALA SI PROTECTIA COPILULUI ALBA,STERICYCLE ROMANIA S.R.L.,388331,2020-07-13,autoritate non-spital
SCN1066479,DIRECTIA GENERALA DE ASISTENTA SOCIALA A MUNICIPIULUI BUCURESTI,STERICYCLE ROMANIA S.R.L.,107000,2020-07-21,autoritate non-spital
SCN1082344,DIRECTIA GENERALA DE ASISTENTA SOCIALA SI PROTECTIA COPILULUI SECTOR 6,BEST TDM NETWORK,180813,2021-02-23,autoritate non-spital
CAN1055918,SERVICIUL DE AMBULANTA BUCURESTI-ILFOV,EXPERT WASTE MANAGEMENT SRL,137500,2021-05-13,autoritate non-spital
CAN1056325,MUNICIPIUL ARAD,ECOLOGMED S.R.L.,570000,2021-05-19,autoritate non-spital
CAN1056490,CENTRUL MEDICAL DE DIAGNOSTIC SI TRATAMENT AMBULATORIU ORADEA,ROM K-DRAN,4538,2021-05-24,centru medical ambulatoriu (fara paturi)
CAN1056498,CENTRUL MEDICAL DE DIAGNOSTIC SI TRATAMENT AMBULATORIU ORADEA,NEUTRON,4080,2021-05-24,centru medical ambulatoriu (fara paturi)
CAN1057261,Sectorul 2 al Municipiului Bucuresti,STERICYCLE ROMANIA S.R.L.,15680,2021-06-08,autoritate non-spital
CAN1057276,Sectorul 2 al Municipiului Bucuresti,STERICYCLE ROMANIA S.R.L.,20840,2021-06-08,autoritate non-spital
SCN1083177,DIRECTIA GENERALA DE ASISTENTA SOCIALA SI PROTECTIA COPILULUI BRAILA,ECO FIRE SISTEMS S.R.L.,261128,2021-06-30,autoritate non-spital
SCN1082114,DIRECTIA GENERALA ASISTENTA SOCIALA CONSTANTA,ECO FIRE SISTEMS S.R.L.,727265,2021-07-01,autoritate non-spital
SCN1087417,DIRECTIA GENERALA DE ASISTENTA SOCIALA SI PROTECTIA COPILULUI VRANCEA,ECO FIRE SISTEMS S.R.L.,282999,2021-09-24,autoritate non-spital
CAN1063581,Sectorul 2 al Municipiului Bucuresti,EXPERT WASTE MANAGEMENT SRL,32300,2021-09-30,autoritate non-spital
524591-2021,SPITALUL JUDETEAN DE URGENTA ZALAU,,2970000,2021-10-15,procedura anulata / fara castigator (confirmat in XML TED)
CAN1066692,Sectorul 2 al Municipiului Bucuresti,EXPERT WASTE MANAGEMENT SRL,19000,2021-11-17,autoritate non-spital
SCN1099614,DIRECTIA GENERALA DE ASISTENTA SOCIALA A MUNICIPIULUI BUCURESTI,STERICYCLE ROMANIA S.R.L.,161400,2022-04-20,autoritate non-spital
301151-2022,Primaria Municipiului Tirgu-Mures,BRANTNER SERVICII ECOLOGICE,9725794,2022-05-31,autoritate non-spital
CAN1080888,CENTRUL MEDICAL DE DIAGNOSTIC SI TRATAMENT AMBULATORIU ORADEA,NEUTRON,7440,2022-06-10,centru medical ambulatoriu (fara paturi)
CAN1080910,CENTRUL MEDICAL DE DIAGNOSTIC SI TRATAMENT AMBULATORIU ORADEA,ROM K-DRAN,9076,2022-06-10,centru medical ambulatoriu (fara paturi)
SCN1103502,DIRECTIA GENERALA DE ASISTENTA SOCIALA SI PROTECTIA COPILULUI ALBA,STERICYCLE ROMANIA S.R.L.,170895,2022-07-06,autoritate non-spital
370488-2022,MUNICIPIUL PLOIESTI,,3286296,2022-07-08,autoritate non-spital
CAN1102894,Spitalul Clinic de Urgenta Bagdasar-Arseni,UNITED WASTE SOLUTIONS,123422,2023-05-04,"deseuri menajere dupa titlu ('SERVICII DE COLECTARE, TRANSPORT SI DEPOZITARE DESEURI MENAJ')"
SCN1119349,DIRECTIA GENERALA DE ASISTENTA SOCIALA SI PROTECTIA COPILULUI VRANCEA,ECO FIRE SISTEMS S.R.L.,399916,2023-05-26,autoritate non-spital
SCN1121915,DIRECTIA GENERALA DE ASISTENTA SOCIALA SI PROTECTIA COPILULUI BRAILA,ECO FIRE SISTEMS S.R.L.,254016,2023-06-28,autoritate non-spital
SCN1126377,DIRECTIA GENERALA DE ASISTENTA SOCIALA A MUNICIPIULUI BUCURESTI,STERICYCLE ROMANIA S.R.L.,178080,2023-09-28,autoritate non-spital
CAN1118286,Spitalul Clinic de Psihiatrie Prof. Dr. Alexandru Obregia,UNITED WASTE SOLUTIONS,57958,2024-01-04,deseuri menajere dupa titlu ('NEGOCIERE FARA PUBLICARE DESEURI MENAJERE')
189050-2024,SPITALUL CLINIC DE URGENTA SF.IOAN,,,2024-03-29,procedura anulata / fara castigator (confirmat in XML TED)
SCN1144593,Directia Generala de Asistenta Sociala si Protectia Copilului Timis,STERICYCLE ROMANIA S.R.L.,413932,2024-07-22,autoritate non-spital
472803-2024,INSTITUTUL CLINIC FUNDENI,,,2024-08-06,procedura anulata / fara castigator (confirmat in XML TED)
SCN1145904,DIRECTIA GENERALA DE ASISTENTA SOCIALA SI PROTECTIA COPILULUI VRANCEA,ECO FIRE SISTEMS S.R.L.,31933438,2024-09-17,autoritate non-spital
650437-2024,SPITALUL DE URGENTA TG-CARBUNESTI,,,2024-10-25,procedura anulata / fara castigator (confirmat in XML TED)
CAN1134597,Spitalul Clinic de Psihiatrie Prof. Dr. Alexandru Obregia,UNITED WASTE SOLUTIONS,304580,2024-10-29,deseuri menajere dupa titlu ('NEGOCIERE FARA PUBLICARE DESEURI MENAJERE')
347071-2025,"SPITALUL CLINIC DE URGENTA PENTRU COPII ,,Maria Sklodowska Curie""",,,2025-05-30,procedura anulata / fara castigator (confirmat in XML TED)
556972-2025,"Institutul National de Boli Infectioase ""Prof. Dr. Matei Bals""",,,2025-08-26,procedura anulata / fara castigator (confirmat in XML TED)
4429-2026,SPITALUL CLINIC JUDETEAN DE URGENTA BRASOV,,,2026-01-06,procedura anulata / fara castigator (confirmat in XML TED)
