id_procedura,publicat_in_TED,autoritate_contractanta,castigatori,valoare_ron,baza_valorii,valoare_atribuita_ron,sursa_valoare_atribuita,valoare_max_acord_ron,sursa_valoare_max,valoare_max_estimata_acord_ron,acord_cadru,titlu,cpv,data_atribuirii,durata_luni,data_expirarii,sursa_durata,expira_in_12_luni,avertisment,note,link
CAN1134469,NU,SPITALUL MUNICIPAL DE URGENTA MOINESTI,DEMECO S.R.L.,310440,valoare atribuita (SICAP/OpenTender (valori pe atribuire)),310440,SICAP/OpenTender (valori pe atribuire),310440,SICAP/OpenTender (valoare procedura),,,"Serviciile de colectare, transport si eliminare finala a deșeurilor medicale periculoase III",90524400,2024-10-03,24,2026-10-03,"ESTIMAT (24 luni, durata nepublicata)",DA,"durata estimata; acelasi spital a atribuit un contract nou aceluiasi castigator la 2024-11-13 (CAN1137044), inainte de expirarea calculata => probabil inlocuit",,SICAP anunt nr. CAN1134469
CAN1135152,NU,"Spitalul Clinic de Urgenta pentru Copii ""Grigore Alexandrescu""",STERICYCLE ROMANIA S.R.L.,43400,valoare atribuita (SICAP/OpenTender (valori pe atribuire)),43400,SICAP/OpenTender (valori pe atribuire),,,,,,90524400,2024-10-16,24,2026-10-16,"ESTIMAT (24 luni, durata nepublicata)",DA,,,SICAP anunt nr. CAN1135152
SCNA1112859,NU,Spitalul Clinic de Obstetrica-Ginecologie Dr. I.A. Sbarcea Brasov,AKSD ROMANIA SRL,161043,valoare atribuita (SICAP/OpenTender (valori pe atribuire)),161043,SICAP/OpenTender (valori pe atribuire),,,,,,90524400,2024-11-04,24,2026-11-04,"ESTIMAT (24 luni, durata nepublicata)",DA,,2 randuri SICAP cu valoare identica (posibil loturi egale sau acord cu mai multi castigatori); valoarea numarata o singura data,SICAP anunt nr. SCNA1112859
CAN1136511,NU,SPITALUL CLINIC JUDETEAN DE URGENTA CLUJ,STERICYCLE ROMANIA S.R.L.,367000,valoare atribuita (SICAP/OpenTender (valori pe atribuire)),367000,SICAP/OpenTender (valori pe atribuire),367000,SICAP/OpenTender (valoare procedura),,,"Servicii de colectare, transport si eliminare a deseurilor medicale (4)",90524400,2024-11-06,24,2026-11-06,"ESTIMAT (24 luni, durata nepublicata)",DA,,,SICAP anunt nr. CAN1136511
CAN1137044,NU,SPITALUL MUNICIPAL DE URGENTA MOINESTI,DEMECO S.R.L.,334320,valoare atribuita (SICAP/OpenTender (valori pe atribuire)),334320,SICAP/OpenTender (valori pe atribuire),334320,SICAP/OpenTender (valoare procedura),,,"Serviciile de colectare, transport si eliminare finala a deșeurilor medicale periculoase IV",90524400,2024-11-13,24,2026-11-13,"ESTIMAT (24 luni, durata nepublicata)",DA,,,SICAP anunt nr. CAN1137044
563533-2025,DA,Spitalul Clinic Judetean de Urgenta Craiova,DIVERS ECO TECH,1872000,valoare maxima a acordului-cadru (TED eForms BT-118 (valoarea maxima a acordului)),,,1872000,TED eForms BT-118 (valoarea maxima a acordului),1872000,DA,"""Servicii de colectare, de transport şi de eliminare a deşeurilor spitaliceşti inclusiv furnizare ambalaje de colectare(deseuri nepericulase",90524400,2024-12-17,24,2026-12-17,TED eForms (durata publicata),DA,,titlul indica deseuri NEPERICULOASE (CPV 90524x publicat de autoritate); data = prima incheiere de contract publicata in TED,https://ted.europa.eu/en/notice/-/detail/563533-2025
CAN1138998,NU,"Spital Clinic Judetean de Urgenta ""Pius Brinzeu"" Timisoara",SC PRO AIR CLEAN ECOLOGIC SA,261000,valoare atribuita (SICAP/OpenTender (valori pe atribuire)),261000,SICAP/OpenTender (valori pe atribuire),,,,,,90524400,2024-12-17,24,2026-12-17,"ESTIMAT (24 luni, durata nepublicata)",DA,,,SICAP anunt nr. CAN1138998
301-2025,DA,SPITALUL JUDETEAN DE URGENTA PIATRA NEAMT,DEMECO S.R.L. / VIVANI SALUBRITATE,2151360,valoare maxima a acordului-cadru (TED eForms BT-118 (valoarea maxima a acordului)),,,2151360,TED eForms BT-118 (valoarea maxima a acordului),2380320,DA,"ACORD CADRU SERVICII DE COLECTARE, TRANSPORT SI ELIMINARE FINALA A DESEURILOR SPITALICESTI",90524400,2024-12-20,24,2026-12-20,TED eForms (durata publicata),DA,,data = prima incheiere de contract publicata in TED,https://ted.europa.eu/en/notice/-/detail/301-2025
CAN1139675,NU,Spitalul de Boli infectioase si Psihiatrie Baia Mare,AKSD ROMANIA SRL,48000,valoare atribuita (SICAP/OpenTender (valori pe atribuire)),48000,SICAP/OpenTender (valori pe atribuire),,,,,,90524400,2024-12-30,24,2026-12-30,"ESTIMAT (24 luni, durata nepublicata)",DA,,,SICAP anunt nr. CAN1139675
165313-2025,DA,Spitalul Judetean de Urgenta Alba Iulia,PRO AIR CLEAN ECOLOGIC / VERTISA ENVIROMENTAL,2073600,valoare maxima a acordului-cadru (TED eForms BT-118 (valoarea maxima a acordului)),,,2073600,TED eForms BT-118 (valoarea maxima a acordului),2073600,DA,"SERVICII DE COLECTARE, TRANSPORT ȘI ELIMINARE FINALĂ A DEȘEURILOR MEDICALE",90524400,2025-03-12,24,2027-03-12,TED eForms (durata publicata),DA,,data = prima incheiere de contract publicata in TED,https://ted.europa.eu/en/notice/-/detail/165313-2025
