id_brut_db,id_anunt_normalizat,id_procedura_finala,relatie
ot:CAN1033894:award-1,CAN1033894,,exclus: autoritate non-spital
ot:SCN1065408:award-1,SCN1065408,,exclus: autoritate non-spital
ot:SCN1065577:award-1,SCN1065577,,exclus: autoritate non-spital
ot:SCN1066078:award-1,SCN1066078,,exclus: autoritate non-spital
ot:SCN1066078:award-10,SCN1066078,,exclus: autoritate non-spital
ot:SCN1066078:award-11,SCN1066078,,exclus: autoritate non-spital
ot:SCN1066078:award-12,SCN1066078,,exclus: autoritate non-spital
ot:SCN1066078:award-13,SCN1066078,,exclus: autoritate non-spital
ot:SCN1066078:award-2,SCN1066078,,exclus: autoritate non-spital
ot:SCN1066078:award-3,SCN1066078,,exclus: autoritate non-spital
ot:SCN1066078:award-4,SCN1066078,,exclus: autoritate non-spital
ot:SCN1066078:award-5,SCN1066078,,exclus: autoritate non-spital
ot:SCN1066078:award-6,SCN1066078,,exclus: autoritate non-spital
ot:SCN1066078:award-7,SCN1066078,,exclus: autoritate non-spital
ot:SCN1066078:award-8,SCN1066078,,exclus: autoritate non-spital
ot:SCN1066078:award-9,SCN1066078,,exclus: autoritate non-spital
ot:SCN1066479:award-1,SCN1066479,,exclus: autoritate non-spital
ot:SCN1082344:award-1,SCN1082344,,exclus: autoritate non-spital
ot:SCN1082344:award-2,SCN1082344,,exclus: autoritate non-spital
ot:SCN1082344:award-3,SCN1082344,,exclus: autoritate non-spital
ot:SCN1082344:award-4,SCN1082344,,exclus: autoritate non-spital
ot:SCN1082344:award-5,SCN1082344,,exclus: autoritate non-spital
ot:SCN1082344:award-6,SCN1082344,,exclus: autoritate non-spital
ot:SCN1082344:award-7,SCN1082344,,exclus: autoritate non-spital
ot:SCN1082344:award-8,SCN1082344,,exclus: autoritate non-spital
ot:SCN1082344:award-9,SCN1082344,,exclus: autoritate non-spital
ot:CAN1055918:award-1,CAN1055918,,exclus: autoritate non-spital
ot:CAN1056325:award-1,CAN1056325,,exclus: autoritate non-spital
ot:CAN1056490:award-1,CAN1056490,,exclus: centru medical ambulatoriu (fara paturi)
ot:CAN1056498:award-1,CAN1056498,,exclus: centru medical ambulatoriu (fara paturi)
ot:CAN1057261:award-1,CAN1057261,,exclus: autoritate non-spital
ot:CAN1057276:award-1,CAN1057276,,exclus: autoritate non-spital
ot:SCN1083177:award-1,SCN1083177,,exclus: autoritate non-spital
ot:SCN1083177:award-10,SCN1083177,,exclus: autoritate non-spital
ot:SCN1083177:award-11,SCN1083177,,exclus: autoritate non-spital
ot:SCN1083177:award-12,SCN1083177,,exclus: autoritate non-spital
ot:SCN1083177:award-13,SCN1083177,,exclus: autoritate non-spital
ot:SCN1083177:award-14,SCN1083177,,exclus: autoritate non-spital
ot:SCN1083177:award-15,SCN1083177,,exclus: autoritate non-spital
ot:SCN1083177:award-16,SCN1083177,,exclus: autoritate non-spital
ot:SCN1083177:award-17,SCN1083177,,exclus: autoritate non-spital
ot:SCN1083177:award-18,SCN1083177,,exclus: autoritate non-spital
ot:SCN1083177:award-19,SCN1083177,,exclus: autoritate non-spital
ot:SCN1083177:award-2,SCN1083177,,exclus: autoritate non-spital
ot:SCN1083177:award-20,SCN1083177,,exclus: autoritate non-spital
ot:SCN1083177:award-21,SCN1083177,,exclus: autoritate non-spital
ot:SCN1083177:award-22,SCN1083177,,exclus: autoritate non-spital
ot:SCN1083177:award-23,SCN1083177,,exclus: autoritate non-spital
ot:SCN1083177:award-24,SCN1083177,,exclus: autoritate non-spital
ot:SCN1083177:award-25,SCN1083177,,exclus: autoritate non-spital
ot:SCN1083177:award-3,SCN1083177,,exclus: autoritate non-spital
ot:SCN1083177:award-4,SCN1083177,,exclus: autoritate non-spital
ot:SCN1083177:award-5,SCN1083177,,exclus: autoritate non-spital
ot:SCN1083177:award-6,SCN1083177,,exclus: autoritate non-spital
ot:SCN1083177:award-7,SCN1083177,,exclus: autoritate non-spital
ot:SCN1083177:award-8,SCN1083177,,exclus: autoritate non-spital
ot:SCN1083177:award-9,SCN1083177,,exclus: autoritate non-spital
ot:SCN1082114:award-1,SCN1082114,,exclus: autoritate non-spital
ot:SCN1087417:award-1,SCN1087417,,exclus: autoritate non-spital
ot:SCN1087417:award-2,SCN1087417,,exclus: autoritate non-spital
ot:SCN1087417:award-3,SCN1087417,,exclus: autoritate non-spital
ot:SCN1087417:award-4,SCN1087417,,exclus: autoritate non-spital
ot:SCN1087417:award-5,SCN1087417,,exclus: autoritate non-spital
ot:SCN1087417:award-6,SCN1087417,,exclus: autoritate non-spital
ot:CAN1063581:award-1,CAN1063581,,exclus: autoritate non-spital
524591-2021,524591-2021,,exclus: procedura anulata / fara castigator (XML TED)
ot:CAN1066692:award-1,CAN1066692,,exclus: autoritate non-spital
ot:SCN1099614:award-1,SCN1099614,,exclus: autoritate non-spital
ot:2022/S 107-301151:award-1,301151-2022,,exclus: autoritate non-spital
ot:CAN1080888:award-1,CAN1080888,,exclus: centru medical ambulatoriu (fara paturi)
ot:CAN1080910:award-1,CAN1080910,,exclus: centru medical ambulatoriu (fara paturi)
ot:SCN1103502:award-1,SCN1103502,,exclus: autoritate non-spital
ot:SCN1103502:award-10,SCN1103502,,exclus: autoritate non-spital
ot:SCN1103502:award-2,SCN1103502,,exclus: autoritate non-spital
ot:SCN1103502:award-3,SCN1103502,,exclus: autoritate non-spital
ot:SCN1103502:award-4,SCN1103502,,exclus: autoritate non-spital
ot:SCN1103502:award-5,SCN1103502,,exclus: autoritate non-spital
ot:SCN1103502:award-6,SCN1103502,,exclus: autoritate non-spital
ot:SCN1103502:award-7,SCN1103502,,exclus: autoritate non-spital
ot:SCN1103502:award-8,SCN1103502,,exclus: autoritate non-spital
ot:SCN1103502:award-9,SCN1103502,,exclus: autoritate non-spital
370488-2022,370488-2022,,exclus: autoritate non-spital
ot:CAN1102894:award-1,CAN1102894,,exclus: deseuri menajere dupa titlu
ot:SCN1119349:award-1,SCN1119349,,exclus: autoritate non-spital
ot:SCN1119349:award-2,SCN1119349,,exclus: autoritate non-spital
ot:SCN1119349:award-3,SCN1119349,,exclus: autoritate non-spital
ot:SCN1119349:award-4,SCN1119349,,exclus: autoritate non-spital
ot:SCN1119349:award-5,SCN1119349,,exclus: autoritate non-spital
ot:SCN1121915:award-1,SCN1121915,,exclus: autoritate non-spital
ot:SCN1121915:award-10,SCN1121915,,exclus: autoritate non-spital
ot:SCN1121915:award-11,SCN1121915,,exclus: autoritate non-spital
ot:SCN1121915:award-12,SCN1121915,,exclus: autoritate non-spital
ot:SCN1121915:award-13,SCN1121915,,exclus: autoritate non-spital
ot:SCN1121915:award-14,SCN1121915,,exclus: autoritate non-spital
ot:SCN1121915:award-15,SCN1121915,,exclus: autoritate non-spital
ot:SCN1121915:award-16,SCN1121915,,exclus: autoritate non-spital
ot:SCN1121915:award-17,SCN1121915,,exclus: autoritate non-spital
ot:SCN1121915:award-18,SCN1121915,,exclus: autoritate non-spital
ot:SCN1121915:award-19,SCN1121915,,exclus: autoritate non-spital
ot:SCN1121915:award-2,SCN1121915,,exclus: autoritate non-spital
ot:SCN1121915:award-20,SCN1121915,,exclus: autoritate non-spital
ot:SCN1121915:award-21,SCN1121915,,exclus: autoritate non-spital
ot:SCN1121915:award-22,SCN1121915,,exclus: autoritate non-spital
ot:SCN1121915:award-3,SCN1121915,,exclus: autoritate non-spital
ot:SCN1121915:award-4,SCN1121915,,exclus: autoritate non-spital
ot:SCN1121915:award-5,SCN1121915,,exclus: autoritate non-spital
ot:SCN1121915:award-6,SCN1121915,,exclus: autoritate non-spital
ot:SCN1121915:award-7,SCN1121915,,exclus: autoritate non-spital
ot:SCN1121915:award-8,SCN1121915,,exclus: autoritate non-spital
ot:SCN1121915:award-9,SCN1121915,,exclus: autoritate non-spital
ot:SCN1126377:award-1,SCN1126377,,exclus: autoritate non-spital
ot:CAN1118286:award-1,CAN1118286,,exclus: deseuri menajere dupa titlu
189050-2024,189050-2024,,exclus: procedura anulata / fara castigator (XML TED)
ot:SCN1144593:award-1,SCN1144593,,exclus: autoritate non-spital
472803-2024,472803-2024,,exclus: procedura anulata / fara castigator (XML TED)
ot:SCN1145904:award-1,SCN1145904,,exclus: autoritate non-spital
650437-2024,650437-2024,,exclus: procedura anulata / fara castigator (XML TED)
ot:CAN1134597:award-1,CAN1134597,,exclus: deseuri menajere dupa titlu
347071-2025,347071-2025,,exclus: procedura anulata / fara castigator (XML TED)
556972-2025,556972-2025,,exclus: procedura anulata / fara castigator (XML TED)
4429-2026,4429-2026,,exclus: procedura anulata / fara castigator (XML TED)
367655-2019,367655-2019,367655-2019,acelasi anunt
519109-2020,519109-2020,367655-2019,acelasi anunt de participare (F02)
404406-2022,404406-2022,367655-2019,acelasi anunt de participare (F02)
380391-2019,380391-2019,380391-2019,acelasi anunt
136512-2020,136512-2020,380391-2019,acelasi anunt de participare (F02)
147371-2021,147371-2021,380391-2019,acelasi anunt de participare (F02)
587551-2021,587551-2021,380391-2019,acelasi anunt de participare (F02)
12201-2022,12201-2022,380391-2019,acelasi anunt de participare (F02)
ot:2022/S 006-012201:award-1,12201-2022,380391-2019,acelasi anunt de participare (F02)
443775-2019,443775-2019,443775-2019,acelasi anunt
448681-2019,448681-2019,448681-2019,acelasi anunt
241617-2020,241617-2020,448681-2019,acelasi anunt de participare (F02)
541721-2022,541721-2022,448681-2019,acelasi anunt de participare (F02)
457783-2019,457783-2019,457783-2019,acelasi anunt
208082-2020,208082-2020,457783-2019,acelasi anunt de participare (F02)
350117-2020,350117-2020,457783-2019,acelasi anunt de participare (F02)
50599-2021,50599-2021,457783-2019,acelasi anunt de participare (F02)
181770-2021,181770-2021,457783-2019,acelasi anunt de participare (F02)
517032-2021,517032-2021,457783-2019,acelasi anunt de participare (F02)
237016-2022,237016-2022,457783-2019,acelasi anunt de participare (F02)
415023-2022,415023-2022,457783-2019,acelasi anunt de participare (F02)
ot:2022/S 145-415023:award-1,415023-2022,457783-2019,acelasi anunt de participare (F02)
581605-2022,581605-2022,457783-2019,acelasi anunt de participare (F02)
250887-2023,250887-2023,457783-2019,acelasi anunt de participare (F02)
ot:2021/S 149-397727:award-5,397727-2021,511079-2019,acelasi anunt de participare (F02)
ot:2021/S 149-397727:award-6,397727-2021,511079-2019,acelasi anunt de participare (F02)
ot:2021/S 149-397727:award-4,397727-2021,511079-2019,acelasi anunt de participare (F02)
ot:2021/S 149-397727:award-7,397727-2021,511079-2019,acelasi anunt de participare (F02)
ot:2021/S 149-397727:award-8,397727-2021,511079-2019,acelasi anunt de participare (F02)
ot:2021/S 149-397727:award-9,397727-2021,511079-2019,acelasi anunt de participare (F02)
ot:2021/S 149-397727:award-3,397727-2021,511079-2019,acelasi anunt de participare (F02)
ot:2021/S 149-397727:award-10,397727-2021,511079-2019,acelasi anunt de participare (F02)
ot:2021/S 149-397727:award-11,397727-2021,511079-2019,acelasi anunt de participare (F02)
ot:2021/S 149-397727:award-12,397727-2021,511079-2019,acelasi anunt de participare (F02)
ot:2021/S 149-397727:award-13,397727-2021,511079-2019,acelasi anunt de participare (F02)
ot:2021/S 149-397727:award-16,397727-2021,511079-2019,acelasi anunt de participare (F02)
ot:2021/S 149-397727:award-14,397727-2021,511079-2019,acelasi anunt de participare (F02)
ot:2021/S 149-397727:award-15,397727-2021,511079-2019,acelasi anunt de participare (F02)
ot:2021/S 149-397727:award-2,397727-2021,511079-2019,acelasi anunt de participare (F02)
ot:2021/S 149-397727:award-1,397727-2021,511079-2019,acelasi anunt de participare (F02)
397727-2021,397727-2021,511079-2019,acelasi anunt de participare (F02)
511079-2019,511079-2019,511079-2019,acelasi anunt
17542-2020,17542-2020,511079-2019,acelasi anunt de participare (F02)
339878-2020,339878-2020,511079-2019,acelasi anunt de participare (F02)
490462-2020,490462-2020,511079-2019,acelasi anunt de participare (F02)
513755-2020,513755-2020,511079-2019,acelasi anunt de participare (F02)
524914-2020,524914-2020,511079-2019,acelasi anunt de participare (F02)
23057-2021,23057-2021,511079-2019,acelasi anunt de participare (F02)
33187-2021,33187-2021,511079-2019,acelasi anunt de participare (F02)
39653-2021,39653-2021,511079-2019,acelasi anunt de participare (F02)
209298-2021,209298-2021,511079-2019,acelasi anunt de participare (F02)
559628-2021,559628-2021,511079-2019,acelasi anunt de participare (F02)
466923-2019,466923-2019,466923-2019,acelasi anunt
492520-2019,492520-2019,492520-2019,acelasi anunt
523502-2019,523502-2019,523502-2019,acelasi anunt
559977-2019,559977-2019,523502-2019,acelasi anunt de participare (F02)
2001-2020,2001-2020,523502-2019,acelasi anunt de participare (F02)
54266-2020,54266-2020,523502-2019,acelasi anunt de participare (F02)
176748-2020,176748-2020,523502-2019,acelasi anunt de participare (F02)
306637-2020,306637-2020,523502-2019,acelasi anunt de participare (F02)
485907-2020,485907-2020,523502-2019,acelasi anunt de participare (F02)
7235-2021,7235-2021,523502-2019,acelasi anunt de participare (F02)
14773-2021,14773-2021,523502-2019,acelasi anunt de participare (F02)
528009-2019,528009-2019,528009-2019,acelasi anunt
112768-2021,112768-2021,528009-2019,acelasi anunt de participare (F02)
ot:2021/S 045-112768:award-1,112768-2021,528009-2019,acelasi anunt de participare (F02)
ot:2021/S 045-112768:award-2,112768-2021,528009-2019,acelasi anunt de participare (F02)
559999-2019,559999-2019,559999-2019,acelasi anunt
579541-2019,579541-2019,559999-2019,acelasi anunt de participare (F02)
39877-2020,39877-2020,559999-2019,acelasi anunt de participare (F02)
296640-2020,296640-2020,559999-2019,acelasi anunt de participare (F02)
388682-2020,388682-2020,559999-2019,acelasi anunt de participare (F02)
572364-2020,572364-2020,559999-2019,acelasi anunt de participare (F02)
580768-2020,580768-2020,559999-2019,acelasi anunt de participare (F02)
9854-2021,9854-2021,559999-2019,acelasi anunt de participare (F02)
559700-2021,559700-2021,559999-2019,acelasi anunt de participare (F02)
72190-2022,72190-2022,559999-2019,acelasi anunt de participare (F02)
383558-2021,383558-2021,559999-2019,acelasi spital+castigatori+data (format vechi <-> eForms)
579556-2019,579556-2019,579556-2019,acelasi anunt
139345-2020,139345-2020,579556-2019,acelasi anunt de participare (F02)
49137-2020,49137-2020,49137-2020,acelasi anunt
270086-2020,270086-2020,49137-2020,acelasi anunt de participare (F02)
355126-2020,355126-2020,49137-2020,acelasi anunt de participare (F02)
508253-2020,508253-2020,49137-2020,acelasi anunt de participare (F02)
7263-2021,7263-2021,49137-2020,acelasi anunt de participare (F02)
14779-2021,14779-2021,49137-2020,acelasi anunt de participare (F02)
184160-2021,184160-2021,49137-2020,acelasi anunt de participare (F02)
49161-2020,49161-2020,49161-2020,acelasi anunt
85484-2020,85484-2020,85484-2020,acelasi anunt
