id_procedura,publicat_in_TED,autoritate_contractanta,castigatori,valoare_ron,baza_valorii,valoare_atribuita_ron,sursa_valoare_atribuita,valoare_max_acord_ron,sursa_valoare_max,valoare_max_estimata_acord_ron,acord_cadru,titlu,cpv,data_atribuirii,durata_luni,data_expirarii,sursa_durata,expira_in_12_luni,avertisment,note,link
259994-2020,DA,Spitalul Judeţean de Urgență Tulcea,STERICYCLE ROMANIA S.R.L.,1540332,valoare atribuita (TED F03 (suma VAL_TOTAL pe contracte)),1540332,TED F03 (suma VAL_TOTAL pe contracte),1145376,TED F03 (valoare estimata totala),,,"Servicii de colectare, de transport, procesare și de eliminare a deșeurilor spitalicești",90524400,2018-05-07,47.3,2022-04-16,"SICAP/OpenTender (durata publicata, zile)",,,"data = prima incheiere de contract publicata in TED; cea mai mare valoare totala publicata dintre 11 anunturi de atribuire (din anuntul 601122-2021; valorile pe anunturi pot fi partiale sau cumulative); aceeasi procedura publicata si sub: 277274-2020, 614138-2020, 632441-2020, 100258-2021, 134186-2021, 192418-2021, 249708-2021, 315496-2021, 351714-2021, 601122-2021; valoarea atribuita publicata depaseste valoarea maxima publicata (asa apar in anunturi)",https://ted.europa.eu/en/notice/-/detail/259994-2020
380391-2019,DA,Spitalul Județean Satu Mare,STERICYCLE ROMANIA S.R.L.,1674000,valoare maxima a acordului-cadru (TED F03 (valoare estimata totala)),1866300,TED F03 (suma VAL_TOTAL pe contracte),1674000,TED F03 (valoare estimata totala),,DA,"„Servicii de colectare, transport și eliminare finală a deșeurilor spitalicești”",90524400,2019-01-31,36,2022-01-31,TED F02 (durata publicata),,,"data = prima incheiere de contract publicata in TED; cea mai mare valoare totala publicata dintre 5 anunturi de atribuire (din anuntul 12201-2022; valorile pe anunturi pot fi partiale sau cumulative); aceeasi procedura publicata si sub: 136512-2020, 147371-2021, 587551-2021, 12201-2022; valoarea atribuita publicata depaseste valoarea maxima publicata (asa apar in anunturi)",https://ted.europa.eu/en/notice/-/detail/380391-2019
559999-2019,DA,Spitalul Universitar de Urgență Militar Central „Dr. Carol Davila”,Eco Burn S.R.L. / Mediline Exim S.R.L.,1576608,valoare maxima a acordului-cadru (TED F02 (valoare estimata totala)),1630266,TED F03 (suma VAL_TOTAL pe contracte),1576608,TED F02 (valoare estimata totala),,DA,"Serviciul de colectare, transport și eliminare deșeuri medicale (spitalicești) și serviciul de colectare, transport și eliminare deșeuri chi",90524400,2019-03-18,48,2023-03-18,TED F02 (durata publicata),,,"unitate militara cu profil de spital; data = prima incheiere de contract publicata in TED; cea mai mare valoare totala publicata dintre 11 anunturi de atribuire (din anuntul 72190-2022; valorile pe anunturi pot fi partiale sau cumulative); aceeasi procedura publicata si sub: 579541-2019, 39877-2020, 296640-2020, 388682-2020, 572364-2020, 580768-2020, 9854-2021, 559700-2021, 72190-2022, 383558-2021; valoarea atribuita publicata depaseste valoarea maxima publicata (asa apar in anunturi)",https://ted.europa.eu/en/notice/-/detail/559999-2019
49137-2020,DA,Spitalul Universitar de Urgență Elias,Eco Burn S.R.L. / Servicii Salubritate București,2296656,valoare maxima a acordului-cadru (TED F03 (valoare estimata totala)),1328692,TED F03 (II.1.7 valoarea totala a achizitiei),2296656,TED F03 (valoare estimata totala),,DA,"Servicii de colectare, manipulare, transport, incinerare/neutralizare deșeuri medicale periculoase și servicii de colectare, manipulare, tra",90524400,2019-04-22,24,2021-04-22,TED F02 (durata publicata),,,"data = prima incheiere de contract publicata in TED; cea mai mare valoare totala publicata dintre 7 anunturi de atribuire (din anuntul 184160-2021; valorile pe anunturi pot fi partiale sau cumulative); aceeasi procedura publicata si sub: 270086-2020, 355126-2020, 508253-2020, 7263-2021, 14779-2021, 184160-2021",https://ted.europa.eu/en/notice/-/detail/49137-2020
49161-2020,DA,Spitalul Județean de Urgență Slatina,Xtreme Ecoenergy Group S.R.L.,1404000,valoare maxima a acordului-cadru (TED F03 (valoare estimata totala)),1358266,TED F03 (II.1.7 valoarea totala a achizitiei),1404000,TED F03 (valoare estimata totala),,DA,"Servicii de colectare, transport și eliminare finală a deșeurilor medicale",90524400,2019-04-22,24,2021-04-22,TED F02 (durata publicata),,,data = prima incheiere de contract publicata in TED,https://ted.europa.eu/en/notice/-/detail/49161-2020
527725-2020,DA,Spitalul Județean de Urgență Bacău,DEMECO S.R.L.,3278320,valoare maxima a acordului-cadru (TED F02 (valoare estimata totala)),1700170,TED F03 (suma VAL_TOTAL pe contracte),3278320,TED F02 (valoare estimata totala),,DA,"Servicii de colectare, transport și eliminare deșeuri spitalicești",90524400,2019-06-18,48,2023-06-18,TED F02 (durata publicata),,"acelasi spital a atribuit un contract nou aceluiasi castigator la 2023-06-06 (340982-2023), inainte de expirarea calculata => probabil inlocuit",data = prima incheiere de contract publicata in TED; cea mai mare valoare totala publicata dintre 2 anunturi de atribuire (din anuntul 259885-2023; valorile pe anunturi pot fi partiale sau cumulative); aceeasi procedura publicata si sub: 259885-2023,https://ted.europa.eu/en/notice/-/detail/527725-2020
367655-2019,DA,Spitalul Clinic Județean de Urgență „Sfântul Apostol Andrei”,Eco Fire Sistems S.R.L.,3360000,valoare maxima a acordului-cadru (TED F03 (valoare estimata totala)),2335000,TED F03 (suma VAL_TOTAL pe contracte),3360000,TED F03 (valoare estimata totala),,DA,"Servicii de colectare, transport și eliminare deșeuri medicale",90524400,2019-06-20,48,2023-06-20,TED F02 (durata publicata),,"acelasi spital a atribuit un contract nou aceluiasi castigator la 2020-07-24 (357518-2020), inainte de expirarea calculata => probabil inlocuit","data = prima incheiere de contract publicata in TED; cea mai mare valoare totala publicata dintre 3 anunturi de atribuire (din anuntul 404406-2022; valorile pe anunturi pot fi partiale sau cumulative); aceeasi procedura publicata si sub: 519109-2020, 404406-2022",https://ted.europa.eu/en/notice/-/detail/367655-2019
528009-2019,DA,Spitalul Clinic de Urgență „Sfântul Ioan”,Servicii Salubritate Bucureşti / Stericycle România S.R.L.,1530720,valoare maxima a acordului-cadru (TED F02 (valoare estimata totala)),745680,TED F03 (II.1.7 valoarea totala a achizitiei),1530720,TED F02 (valoare estimata totala),,DA,"Acord-cadru servicii de colectare, transport și eliminare deșeuri",90524400,2019-08-19,24,2021-08-19,TED F02 (durata publicata),,,data = prima incheiere de contract publicata in TED; valoare atribuita din anuntul 112768-2021; aceeasi procedura publicata si sub: 112768-2021,https://ted.europa.eu/en/notice/-/detail/528009-2019
466923-2019,DA,Spital Clinic Județean de Urgență „Pius Brînzeu” Timișoara,S.C. Pro Air Clean Ecologic S.A.,2856000,valoare maxima a acordului-cadru (TED F02 (valoare estimata totala)),,,2856000,TED F02 (valoare estimata totala),,DA,"Acord-cadru servicii de colectare, de transport și de eliminare a deșeurilor spitalicești",90524400,2019-09-11,24,2021-09-11,TED F02 (durata publicata),,"acelasi spital a atribuit un contract nou aceluiasi castigator la 2021-08-25 (438087-2021), inainte de expirarea calculata => probabil inlocuit",data = prima incheiere de contract publicata in TED,https://ted.europa.eu/en/notice/-/detail/466923-2019
443775-2019,DA,Spitalul Clinic Județean de Urgență Cluj,Stericycle România S.R.L.,3520000,valoare maxima a acordului-cadru (TED F02 (valoare estimata totala)),,,3520000,TED F02 (valoare estimata totala),,DA,"Servicii de colectare, transport și incinerare a deșeurilor medicale periculoase 2",90524400,2019-09-12,48,2023-09-12,TED F02 (durata publicata),,"acelasi spital a atribuit un contract nou aceluiasi castigator la 2020-03-09 (CAN1030139), inainte de expirarea calculata => probabil inlocuit",data = prima incheiere de contract publicata in TED,https://ted.europa.eu/en/notice/-/detail/443775-2019
