id_anunt,autoritate,castigator,valoare_ron,data,motiv_excludere
475330-2020,"Institutul National de Cercetare Dezvoltare pentru Fizica si Inginerie Nucleara ""Horia Hulubei""",APEL LASER S.R.L. / CANBERRA PACKARD S.R.L. / Euro Techsys S.R.L. / HISTERESIS S.R.L. / ROMTEK ELECTRONICS S.R.L.,1139278,2019-02-26,institut de cercetare / fara paturi de spital
156995-2020,Unitatea Militară 02433 București,ANALYTIK-JENA-ROMANIA S.R.L. / ANTISEL RO SRL / Agilrom Scientific / CROMATEC PLUS S.R.L. / Carl Zeiss Instruments / Elta 90 Medical Research SRL / NITECH / SAPACO 2000 S.A. / WATT DISTRIBUTOR S.R.L.,5853297,2019-08-22,unitate militara fara profil de spital
557152-2020,Consiliul Județean Buzău,Karl Storz Endoscopia Romania / Kral Medical Solutions S.R.L.,1658220,2019-09-29,autoritate non-spital
CAN1027534,SERVICIUL DE AMBULANTA BUCURESTI-ILFOV,Pansiprod Distributie / ALPHA NED 2000 EXIM / NANO BIO MEDICAL S.R.L. / Steril Romania S.R.L. / TRIDENT MEDICAL COMPANY S.R.L. / TUNIC PROD S.R.L. / TZMO ROMANIA / LUAN VISION / BIZMED SRL / X-Lab Solutions S.R.L. / MEDICAL GRUP / Natural Es-medical S.R.L / MLM MEDICAL S.R.L. / ARTISANA MEDICAL S.R.L. / Air Liquide Vitalaire Romania / MED - AL TRADING SRL / DELTAMED / PAUL HARTMANN / RUBICON EDITECH 89 S.R.L. / TAISSIS CONCEPT / NOVITRADE S.R.L. / CO&CO Consumer 2002 S.R.L. / NAFKA GRUP S.R.L.,,2020-01-09,autoritate non-spital
SCN1061288,S.N. AEROPORTUL INTERNATIONAL TIMISOARA TRAIAN VUIA S.A.,HORACE MEDIA / DUEVERDE srl / DATA LOGIC AZIMUR SRL / TRADECO ENGINEERING DGC,561027,2020-01-09,entitate privata (SRL/SA)
16044-2020,SERVICIUL DE AMBULANTA BUCURESTI-ILFOV,ALPHA NED 2000 EXIM / ARTISANA MEDICAL S.R.L. / Air Liquide Vitalaire Romania / BIZMED SRL / CO&CO Consumer 2002 S.R.L. / DELTAMED / LUAN VISION / MED - AL TRADING SRL / MEDICAL GRUP / MLM MEDICAL S.R.L. / NAFKA GRUP / NANO BIO MEDICAL S.R.L. / NOVITRADE / Natural Es-medical S.R.L / PAUL HARTMANN / Pansiprod Distributie / RUBICON EDITECH 89 S.R.L. / STERIL ROMANIA / TAISSIS CONCEPT / TRIDENT MEDICAL COMPANY S.R.L. / TUNIC PROD S.R.L. / TZMO ROMANIA / X-Lab Solutions S.R.L.,108000,2020-01-14,autoritate non-spital
SCN1061640,Municipiul Gheorgheni,TEHNO ELECTRO MEDICAL COMPANY S.R.L.,390025,2020-01-17,autoritate non-spital
36129-2020,Orașul Rovinari,Farmatin Medical,1605000,2020-01-21,autoritate non-spital
CAN1028107,Institutul National de Cercetare Dezvoltare Medico Militara Cantacuzino,SC BIOGENETIX SRL,19800,2020-01-22,institut de cercetare / fara paturi de spital
CAN1028108,Institutul National de Cercetare Dezvoltare Medico Militara Cantacuzino,DIALAB SOLUTIONS,23100,2020-01-22,institut de cercetare / fara paturi de spital
SCNA1023332,Directia Generala de Asistenta Sociala si Protectia Copilului Timis,COMTIB S.R.L.,249423,2020-01-23,autoritate non-spital
SCN1062015,SERVICIUL DE AMBULANTA JUDETEAN VRANCEA,PRIMEX MEDICAL / MEDIMPACT / ALPHA BRIO MEDICAL S.R.L. / DELTAMED / Pansiprod Distributie,1058226,2020-01-28,autoritate non-spital
SCN1062180,Directia Generala de Asistenta Sociala si Protectia Copilului Dolj,SANROTEX TRADING SRL / TZMO ROMANIA,173750,2020-01-30,autoritate non-spital
SCNA1031780,Directia Sanitara Veterinara si pentru Siguranta Alimentelor Hunedoara,Noack Romania S.R.L.,9400,2020-02-03,autoritate non-spital
SCN1062562,Comuna Tirsolt,MARSHAL S.R.L.,89500,2020-02-05,autoritate non-spital
SCNA1017826,Directia Generala de Asistenta Sociala si Protectia Copilului Arges,TZMO ROMANIA,238679,2020-02-05,autoritate non-spital
CN1018541,DIRECTIA SANITARA VETERINARA SI PENTRU SIGURANTA ALIMENTELOR IALOMITA,SEPADIN S.R.L. / A.M.S. 2000 TRADING IMPEX S.R.L. / SAPACO 2000 S.A. / ELECTRIC BACKUP / Omnivet Impex S.R.L. / ANTISEL RO SRL,438705,2020-02-06,autoritate non-spital
CN1018640,SC. SANADOR SRL,EXIMIA MEDICAL / HELLIMED / Sof Medica / M-G EXIM ROMITALIA / LUAN VISION / CARDIOTECH / FARMACEUTICA REMEDIA DISTRIBUTION & LOGISTICS S.R.L. / BIOLIFE GRUP S.R.L. / LIFETECH CONSULTING / MLM MEDICAL S.R.L. / MEDTRONIC ROMANIA / SC EPSYLON GROUP SRL / ALPHA MEDICAL S.R.L. / MEDI -TECH BUSINESS / ANGIOSPECTRU MED S.R.L.,,2020-02-06,entitate privata (SRL/SA)
CAN1028872,Universitatea din Bucuresti,SAPACO 2000 S.A.,6400,2020-02-10,autoritate non-spital
