id_procedura,publicat_in_TED,autoritate_contractanta,castigatori,valoare_ron,baza_valorii,valoare_atribuita_ron,sursa_valoare_atribuita,valoare_max_acord_ron,sursa_valoare_max,valoare_max_estimata_acord_ron,acord_cadru,titlu,cpv,data_atribuirii,durata_luni,data_expirarii,sursa_durata,expira_in_12_luni,avertisment,note,link
70658-2023,DA,SPITALUL DE URGENTA PETROSANI,BIOMATRIX SYSTEM / MEDICAL ORTOVIT / VALDOMEDICA TRADING,403200,valoare maxima a acordului-cadru (TED F02 (valoare estimata totala)),202400,TED F03 (II.1.7 valoarea totala a achizitiei),403200,TED F02 (valoare estimata totala),,DA,Material de osteosinteza II (2022-2025),33183100,2023-01-25,44,2026-09-25,TED F02 (durata publicata),DA,,data = prima incheiere de contract publicata in TED,https://ted.europa.eu/en/notice/-/detail/70658-2023
CAN1133887,NU,SPITALUL MUNICIPAL DE URGENTA MOINESTI,B.BRAUN MEDICAL,12695,valoare atribuita (SICAP/OpenTender (valori pe atribuire)),12695,SICAP/OpenTender (valori pe atribuire),,,,,,33140000,2024-09-25,24,2026-09-25,"ESTIMAT (24 luni, durata nepublicata)",DA,"durata estimata; acelasi spital a atribuit un contract nou aceluiasi castigator la 2024-12-04 (CAN1138209), inainte de expirarea calculata => probabil inlocuit",,SICAP anunt nr. CAN1133887
CAN1133890,NU,SPITALUL MUNICIPAL DE URGENTA MOINESTI,Balton Med,23720,valoare atribuita (SICAP/OpenTender (valori pe atribuire)),23720,SICAP/OpenTender (valori pe atribuire),,,,,,33140000,2024-09-25,24,2026-09-25,"ESTIMAT (24 luni, durata nepublicata)",DA,"durata estimata; acelasi spital a atribuit un contract nou aceluiasi castigator la 2024-12-06 (CAN1138210), inainte de expirarea calculata => probabil inlocuit",,SICAP anunt nr. CAN1133890
CAN1133891,NU,SPITALUL MUNICIPAL DE URGENTA MOINESTI,EFARM TOP,6500,valoare atribuita (SICAP/OpenTender (valori pe atribuire)),6500,SICAP/OpenTender (valori pe atribuire),,,,,,33140000,2024-09-25,24,2026-09-25,"ESTIMAT (24 luni, durata nepublicata)",DA,"durata estimata; acelasi spital a atribuit un contract nou aceluiasi castigator la 2024-12-04 (CAN1138211), inainte de expirarea calculata => probabil inlocuit",,SICAP anunt nr. CAN1133891
CAN1133894,NU,SPITALUL MUNICIPAL DE URGENTA MOINESTI,ROSALVAMED PLUS,70495,valoare atribuita (SICAP/OpenTender (valori pe atribuire)),70495,SICAP/OpenTender (valori pe atribuire),70495,SICAP/OpenTender (valoare procedura),,,MATERIALE SANITARE 8-4,33140000,2024-09-25,24,2026-09-25,"ESTIMAT (24 luni, durata nepublicata)",DA,"durata estimata; acelasi spital a atribuit un contract nou aceluiasi castigator la 2024-12-04 (CAN1138271), inainte de expirarea calculata => probabil inlocuit",,SICAP anunt nr. CAN1133894
CAN1133895,NU,SPITALUL MUNICIPAL DE URGENTA MOINESTI,SMART MEDICAL SOLUTIONS S.R.L.,5000,valoare atribuita (SICAP/OpenTender (valori pe atribuire)),5000,SICAP/OpenTender (valori pe atribuire),,,,,,33140000,2024-09-25,24,2026-09-25,"ESTIMAT (24 luni, durata nepublicata)",DA,,,SICAP anunt nr. CAN1133895
CAN1133898,NU,Institutul Regional de Oncologie Iasi,B.BRAUN MEDICAL,149600,valoare maxima a acordului-cadru (SICAP/OpenTender (valoare procedura)),149600,SICAP/OpenTender (valori pe atribuire),149600,SICAP/OpenTender (valoare procedura),,DA,Acord cadru furnizare materiale sanitare 4 luni,33194120,2024-09-25,24,2026-09-25,"ESTIMAT (24 luni, durata nepublicata)",DA,,,SICAP anunt nr. CAN1133898
CAN1133901,NU,Institutul Regional de Oncologie Iasi,NOVITRADE S.R.L.,160000,valoare maxima a acordului-cadru (SICAP/OpenTender (valoare procedura)),160000,SICAP/OpenTender (valori pe atribuire),160000,SICAP/OpenTender (valoare procedura),,DA,Acord cadru furnizare materiale sanitare 4 luni,33194120,2024-09-25,24,2026-09-25,"ESTIMAT (24 luni, durata nepublicata)",DA,,,SICAP anunt nr. CAN1133901
CAN1133907,NU,Institutul Regional de Oncologie Iasi,AXIOMED SOLUTIONS SRL,51178,valoare atribuita (SICAP/OpenTender (valori pe atribuire)),51178,SICAP/OpenTender (valori pe atribuire),,,,DA,Acord cadru furnizare materiale sanitare 4 luni,33198200,2024-09-25,24,2026-09-25,"ESTIMAT (24 luni, durata nepublicata)",DA,,valoarea procedurii din SICAP/OpenTender (5.117.840 RON) ignorata: de peste 20 de ori valoarea atribuita (probabil eroare de unitate),SICAP anunt nr. CAN1133907
CAN1133910,NU,Institutul Regional de Oncologie Iasi,Steril Romania S.R.L.,56973,valoare atribuita (SICAP/OpenTender (valori pe atribuire)),56973,SICAP/OpenTender (valori pe atribuire),,,,DA,Acord cadru furnizare materiale sanitare 4 luni,33198200,2024-09-25,24,2026-09-25,"ESTIMAT (24 luni, durata nepublicata)",DA,,valoarea procedurii din SICAP/OpenTender (5.697.320 RON) ignorata: de peste 20 de ori valoarea atribuita (probabil eroare de unitate),SICAP anunt nr. CAN1133910
CAN1133926,NU,SPITALUL MUNICIPAL DE URGENTA MOINESTI,TEHNO ELECTRO MEDICAL COMPANY S.R.L.,9525,valoare atribuita (SICAP/OpenTender (valori pe atribuire)),9525,SICAP/OpenTender (valori pe atribuire),,,,,,33140000,2024-09-25,24,2026-09-25,"ESTIMAT (24 luni, durata nepublicata)",DA,"durata estimata; acelasi spital a atribuit un contract nou aceluiasi castigator la 2024-12-04 (CAN1138272), inainte de expirarea calculata => probabil inlocuit",,SICAP anunt nr. CAN1133926
604695-2024,DA,SPITALUL UNIVERSITAR DE URGENTA ELIAS,ANGIOSPECTRU MED S.R.L. / COMPLEX SERVICE XXI / DIRECT PHARMA LOGISTICS S.R.L. / EXIMIA MEDICAL / INNOVOTECH S.R.L. / INSIGHT TRADING SRL / LIFETECH CONSULTING / MEDI -TECH BUSINESS / MEDICAL DEVICES & DIAGNOSTICS / MEDTRONIC ROMANIA / NEURO MED THERAPY / ONE MED LOGISTIC / QUANTUSMED / SC JUSTIR DESIGN SRL / TECMED / THREE PHARM,146758139,valoare maxima a acordului-cadru (TED eForms BT-118 (valoarea maxima a acordului)),,,146758139,TED eForms BT-118 (valoarea maxima a acordului),158092165,DA,Materiale sanitare angiografie biplana,33140000,2024-09-27,24,2026-09-27,TED eForms (durata publicata),DA,,data = prima incheiere de contract publicata in TED,https://ted.europa.eu/en/notice/-/detail/604695-2024
650081-2024,DA,MINISTERUL APARARII NATIONALE- U.M. 02587 (INSTITUTUL NATIONAL DE MEDICINA AERONAUTICA SI SPATIALA),BTL ROMANIA APARATURA MEDICALA S.R.L. / MEDIST IMAGING & P.O.C. S.R.L. / PHYSIOMED APARATURA MEDICALA / SC CARTO PLAST SRL,808000,valoare maxima a acordului-cadru (TED eForms BT-118 (valoarea maxima a acordului)),494000,TED eForms (valoarea totala a rezultatului),808000,TED eForms BT-118 (valoarea maxima a acordului),933660,DA,Echipamente medicale 6,33100000,2024-09-27,24,2026-09-27,TED eForms (durata publicata),DA,,unitate militara cu profil de spital; data = prima incheiere de contract publicata in TED; valoare atribuita din anuntul 130482-2025; aceeasi procedura publicata si sub: 130482-2025,https://ted.europa.eu/en/notice/-/detail/650081-2024
366535-2026,DA,"Institutul National pentru Sanatatea Mamei si Copilului ""Alessandrescu-Rusescu Bucuresti""",ALMED INVESTMENTS / BIOSCAN / Integra Medical Business / TEHNOPLUS MEDICAL,9114858,valoare atribuita (TED eForms (valoarea totala a rezultatului)),9114858,TED eForms (valoarea totala a rezultatului),9114858,TED eForms (valoare estimata),,,Echipamente Medicale in cadrul proiectului ”Actualizarea activitatii medicale si de instruire profesionala in domeniul Terapiei Intensive Ne,33100000,2026-05-27,4,2026-09-27,TED eForms (durata publicata),DA,,data = prima incheiere de contract publicata in TED,https://ted.europa.eu/en/notice/-/detail/366535-2026
601648-2026,DA,SPITALUL CLINIC JUDETEAN DE URGENTA CLUJ,ALPHA MEDICAL / BIO HYGIENE / Carl Zeiss Instruments / DUTCHMED S.R.L. / DYNAMIC MEDICAL SOLUTIONS SRL / KAPAMED INTERNATIONAL / KARL STORZ ENDOSCOPIA ROMANIA / MEDIST IMAGING & P.O.C. / MEDTRONIC ROMANIA / Med Tech Distributions / Medical Logistic Mall / NEOMED / NICONSULTING TECHNICS SRL / NITECH / PHILIPS ROMANIA / PROTON IMPEX 2000 / RAFI MEDICAL / SMART MEDICAL SOLUTIONS / STRYKER ROMANIA,22508925,valoare atribuita (TED eForms (valoarea totala a rezultatului)),22508925,TED eForms (valoarea totala a rezultatului),26645696,TED eForms (valoare estimata),,,Achizitie echipamente medicale bloc operator neurochirurgie- finantat prin PNRR/2022/C12/MS-0212 Infrastructura spitaliceasca noua,33100000,2026-07-27,2,2026-09-27,TED eForms (durata publicata),DA,,data = prima incheiere de contract publicata in TED,https://ted.europa.eu/en/notice/-/detail/601648-2026
553948-2026,DA,SPITAL CLINIC JUDETEAN DE URGENTA BIHOR,ALPHA MEDICAL S.R.L. / DACORUM GRUP / S.C. NEOMED S..R.L.,2081368,valoare atribuita (TED eForms (valoarea totala a rezultatului)),2081368,TED eForms (valoarea totala a rezultatului),2117100,TED eForms (valoare estimata),,,"Furnizare, instalare, punere in functiune, instruire personal si service in perioada de garantie - echipamente medicale in cadrul PROGRAMULU",33100000,2026-07-29,2.0,2026-09-29,TED eForms (durata publicata),DA,,data = prima incheiere de contract publicata in TED,https://ted.europa.eu/en/notice/-/detail/553948-2026
589897-2024,DA,"Spital Clinic Judetean de Urgenta ""Pius Brinzeu"" Timisoara",BIO TECHNIC ROMANIA S.R.L. / HS MEDICAL SRL / MEDICAL ORTOVIT / SPORTMED SYSTEMS / STRYKER ROMANIA / ZIMMER BIOMET ROMANIA / RUBICON PHARMACEUTICALS SRL / MEDTRONIC ROMANIA,13597798,valoare maxima a acordului-cadru (TED eForms BT-118 (valoarea maxima a acordului)),,,13597798,TED eForms BT-118 (valoarea maxima a acordului),15301110,DA,Acord cadru de furnizare materiale osteosinteza ortopedie,33140000,2024-09-30,24,2026-09-30,TED eForms (durata publicata),DA,,"data = prima incheiere de contract publicata in TED; aceeasi procedura publicata si sub: 344885-2024, CN1068537",https://ted.europa.eu/en/notice/-/detail/589897-2024
