id_brut_db,id_anunt_normalizat,id_procedura_finala,relatie
ot:2020/S 197-475330:award-5,475330-2020,,exclus: institut de cercetare / fara paturi de spital
ot:2020/S 197-475330:award-8,475330-2020,,exclus: institut de cercetare / fara paturi de spital
ot:2020/S 197-475330:award-1,475330-2020,,exclus: institut de cercetare / fara paturi de spital
ot:2020/S 197-475330:award-10,475330-2020,,exclus: institut de cercetare / fara paturi de spital
ot:2020/S 197-475330:award-11,475330-2020,,exclus: institut de cercetare / fara paturi de spital
ot:2020/S 197-475330:award-2,475330-2020,,exclus: institut de cercetare / fara paturi de spital
ot:2020/S 197-475330:award-3,475330-2020,,exclus: institut de cercetare / fara paturi de spital
ot:2020/S 197-475330:award-4,475330-2020,,exclus: institut de cercetare / fara paturi de spital
ot:2020/S 197-475330:award-6,475330-2020,,exclus: institut de cercetare / fara paturi de spital
ot:2020/S 197-475330:award-7,475330-2020,,exclus: institut de cercetare / fara paturi de spital
ot:2020/S 197-475330:award-9,475330-2020,,exclus: institut de cercetare / fara paturi de spital
ot:2020/S 066-156995:award-1,156995-2020,,exclus: unitate militara fara profil de spital
ot:2020/S 066-156995:award-2,156995-2020,,exclus: unitate militara fara profil de spital
ot:2020/S 066-156995:award-3,156995-2020,,exclus: unitate militara fara profil de spital
ot:2020/S 066-156995:award-4,156995-2020,,exclus: unitate militara fara profil de spital
ot:2020/S 066-156995:award-5,156995-2020,,exclus: unitate militara fara profil de spital
ot:2020/S 066-156995:award-6,156995-2020,,exclus: unitate militara fara profil de spital
ot:2020/S 066-156995:award-7,156995-2020,,exclus: unitate militara fara profil de spital
ot:2020/S 066-156995:award-8,156995-2020,,exclus: unitate militara fara profil de spital
ot:2020/S 066-156995:award-9,156995-2020,,exclus: unitate militara fara profil de spital
ot:2020/S 227-557152:award-2,557152-2020,,exclus: autoritate non-spital
ot:2020/S 227-557152:award-1,557152-2020,,exclus: autoritate non-spital
ot:2020/S 227-557152:award-3,557152-2020,,exclus: autoritate non-spital
ot:CAN1027534:award-1,CAN1027534,,exclus: autoritate non-spital
ot:CAN1027534:award-10,CAN1027534,,exclus: autoritate non-spital
ot:CAN1027534:award-11,CAN1027534,,exclus: autoritate non-spital
ot:CAN1027534:award-12,CAN1027534,,exclus: autoritate non-spital
ot:CAN1027534:award-13,CAN1027534,,exclus: autoritate non-spital
ot:CAN1027534:award-14,CAN1027534,,exclus: autoritate non-spital
ot:CAN1027534:award-15,CAN1027534,,exclus: autoritate non-spital
ot:CAN1027534:award-16,CAN1027534,,exclus: autoritate non-spital
ot:CAN1027534:award-17,CAN1027534,,exclus: autoritate non-spital
ot:CAN1027534:award-18,CAN1027534,,exclus: autoritate non-spital
ot:CAN1027534:award-19,CAN1027534,,exclus: autoritate non-spital
ot:CAN1027534:award-2,CAN1027534,,exclus: autoritate non-spital
ot:CAN1027534:award-20,CAN1027534,,exclus: autoritate non-spital
