id_procedura,publicat_in_TED,autoritate_contractanta,castigatori,valoare_ron,baza_valorii,valoare_atribuita_ron,sursa_valoare_atribuita,valoare_max_acord_ron,sursa_valoare_max,valoare_max_estimata_acord_ron,acord_cadru,titlu,cpv,data_atribuirii,durata_luni,data_expirarii,sursa_durata,expira_in_12_luni,avertisment,note,link
288834-2021,DA,Spitalul Clinic de Urgență „Sfântul Ioan”,ALPHA MEDICAL S.R.L. / BIOSENS MEDICA S.R.L. / Balton Med / CRIO - 2 S.R.L. / PRIME HEALTHCARE S.R.L. / S.C.MEDICAL GRUP S.R.L. / TEHNO ELECTRO MEDICAL COMPANY S.R.L. / VALDOMEDICA TRADING,11214240,valoare maxima a acordului-cadru (TED F02 (valoare estimata totala)),1374285,TED F03 (suma VAL_TOTAL pe contracte),11214240,TED F02 (valoare estimata totala),,DA,Acord-cadru furnizare materiale sanitare pentru ATI,33140000,2018-02-12,24,2020-02-12,TED F02 (durata publicata),,contract publicat dupa data expirarii calculate (2021-05-06); durata este probabil subestimata,data = prima incheiere de contract publicata in TED; cea mai mare valoare totala publicata dintre 2 anunturi de atribuire (din anuntul 332384-2021; valorile pe anunturi pot fi partiale sau cumulative); aceeasi procedura publicata si sub: 332384-2021,https://ted.europa.eu/en/notice/-/detail/288834-2021
98863-2020,DA,Spitalul Clinic de Urgenta Bagdasar-Arseni,MEDICAL ORTOVIT S.R.L. / MEDICAL TECHNOLOGIES INTERNATIONAL,10712000,valoare maxima a acordului-cadru (TED F03 (valoare estimata totala)),682400,TED F03 (II.1.7 valoarea totala a achizitiei),10712000,TED F03 (valoare estimata totala),,DA,Furnizare endoproteze,33183200,2018-04-09,48,2022-04-09,TED F02 (durata publicata),,,data = prima incheiere de contract publicata in TED,https://ted.europa.eu/en/notice/-/detail/98863-2020
414404-2020,DA,"Institutul de Boli Infectioase ""Prof. Dr. Matei Bals""",ARCA MONDO CHIM S.R.L. / CENSUS GROUP / DNS BIROTICA S.R.L. / EUROFLEX S.R.L. / FABI TOTAL GRUP S.R.L. / INEDIT CLEAN TOTAL / SC AZET PREMIUM SRL / SC PRO INTEGRATOR S.R.L. / SC TERRA-PLAST IMPORT SRL,8542030,valoare atribuita (TED F03 (II.1.7 valoarea totala a achizitiei)),8542030,TED F03 (II.1.7 valoarea totala a achizitiei),545678,TED F03 (valoare estimata totala),,,Materiale curățenie,33711000,2018-06-26,24,2020-06-26,"ESTIMAT (24 luni, durata nepublicata)",,valoarea atribuita publicata depaseste de peste 2 ori valoarea maxima/estimata publicata; posibil eroare de publicare; contract publicat dupa data expirarii calculate (2020-08-31); durata este probabil subestimata,data = prima incheiere de contract publicata in TED; valoarea atribuita publicata depaseste valoarea maxima publicata (asa apar in anunturi),https://ted.europa.eu/en/notice/-/detail/414404-2020
342242-2021,DA,Spitalul Județean de Urgență Tulcea,ALPHA MEDICAL S.R.L. / B. BRAUN AVITUM S.R.L. / KAPAMED INTERNATIONAL SRL,8043936,valoare maxima a acordului-cadru (TED F03 (valoare estimata totala)),5417155,TED F03 (suma VAL_TOTAL pe contracte),8043936,TED F03 (valoare estimata totala),,DA,Consumabile pentru dializă renală,33181520,2018-08-20,48,2022-08-20,TED F02 (durata publicata),,contract publicat dupa data expirarii calculate (2022-09-13); durata este probabil subestimata,"data = prima incheiere de contract publicata in TED; cea mai mare valoare totala publicata dintre 18 anunturi de atribuire (din anuntul 649594-2022; valorile pe anunturi pot fi partiale sau cumulative); aceeasi procedura publicata si sub: 380133-2021, 433850-2021, 491284-2021, 2833-2022, 146511-2022, 250179-2022, 265098-2022, 307669-2022, 318175-2022, 353792-2022, 449978-2022, 473549-2022, 477279-2022, 490569-2022, 519049-2022, 537906-2022, 649594-2022",https://ted.europa.eu/en/notice/-/detail/342242-2021
200934-2021,DA,Spitalul Universitar de Urgență Elias,BIO TECHNIC ROMANIA S.R.L. / MEDICAL ORTOVIT S.R.L. / MEDICAL TECHNOLOGIES INTERNATIONAL / VALDOMEDICA TRADING,10675170,valoare maxima a acordului-cadru (TED F03 (valoare estimata totala)),15097594,TED F03 (suma VAL_TOTAL pe contracte),10675170,TED F03 (valoare estimata totala),,DA,Materiale de endoprotezare – proteze ortopedice,33183200,2018-08-21,36,2021-08-21,TED F02 (durata publicata),,,"data = prima incheiere de contract publicata in TED; cea mai mare valoare totala publicata dintre 4 anunturi de atribuire (din anuntul 530100-2021; valorile pe anunturi pot fi partiale sau cumulative); aceeasi procedura publicata si sub: 530100-2021, 342286-2021, 364622-2021; valoarea atribuita publicata depaseste valoarea maxima publicata (asa apar in anunturi)",https://ted.europa.eu/en/notice/-/detail/200934-2021
233968-2020,DA,SPITALUL CLINIC DE RECUPERARE IASI,ADAR UNIC SOLUTIONS S.R.L. / ALPHA BRIO MEDICAL S.R.L. / ALPHA NED 2000 EXIM S.R.L. / ARTISANA MEDICAL S.R.L. / B.BRAUN MEDICAL S.R.L. / BELLA ROMANIA IMPEX S.R.L. / CO&CO Consumer 2002 S.R.L. / CRIO - 2 S.R.L. / DEMOPHORIUS HEALTHCARE SRL / ENGLOBER S.R.L. / EUROMEDICAL IMPORT EXPORT SRL / Euroexpand Impex S.R.L. / FRESENIUS KABI ROMANIA S.R.L. / GYMED Oxigen S.R.L. / HEXAMEDICAL HEALTH / LIAMED S.R.L. / LINDE GAZ ROMANIA S.R.L. / LUAN VISION S.R.L. / M-G EXIM ROMITALIA S.R.L. / MEGACONS-BRILLAGO S.R.L. / MERCATOR MEDICAL S.R.L. / NAFKA GRUP S.R.L. / PARTNERS MEDICAL SOLUTION S.R.L. / PAUL HARTMANN S.R.L. / Pansiprod Distributie SRL / S.C.MEDICAL GRUP S.R.L. / Steril Romania S.R.L. / Sterisystems S.R.L. / TEHNOMED SERVICE S.R.L. / VALDOMEDICA TRADING S.R.L. / ZENMED SOLUTIONS,382238,valoare maxima estimata a procedurii (TED F03 (valoare estimata totala)),,,382238,TED F03 (valoare estimata totala),,,Furnizare materiale sanitare și consumabile medicale/24 de luni (III),33140000,2018-08-29,23.7,2020-08-19,"SICAP/OpenTender (durata publicata, zile)",,,data = prima incheiere de contract publicata in TED,https://ted.europa.eu/en/notice/-/detail/233968-2020
584714-2021,DA,"Institutul de Diabet, Nutritie si Boli Metabolice ""Prof. dr. N. C. Paulescu""",ROCHE ROMANIA,716903,valoare maxima a acordului-cadru (TED F02 (valoare estimata totala)),647400,TED F03 (suma VAL_TOTAL pe contracte),716903,TED F02 (valoare estimata totala),,DA,Pompe insulina si materiale consumabile pentru 12 luni,33195000,2018-09-03,12,2019-09-03,TED F02 (durata publicata),,,data = prima incheiere de contract publicata in TED,https://ted.europa.eu/en/notice/-/detail/584714-2021
484837-2020,DA,Spitalul Judetan de Urgenta „Mavromati” Botosani,ALPHA NED 2000 EXIM S.R.L. / AVA MEDICAL SERVICES SRL / B. BRAUN AVITUM S.R.L. / BELLA ROMANIA IMPEX S.R.L. / BIOMATRIX SYSTEM / FRESENIUS KABI ROMANIA / KAPAMED INTERNATIONAL SRL / MEDICAL ORTOVIT S.R.L. / MEDICAL TECHNOLOGIES INTERNATIONAL / MEGACONS-BRILLAGO / NOVENTIS International / NOVITRADE / Nova Fit 2000 S.R.L. / PAUL HARTMANN / ROMBIOMEDICA S.R.L. / RONDA MEDICAL S.R.L. / ROVAL MED / VALDOMEDICA TRADING / VELMED INTERNATIONAL / ZENMED SOLUTIONS,63128686,valoare maxima a acordului-cadru (TED F03 (valoare estimata totala)),38582210,TED F03 (suma VAL_TOTAL pe contracte),63128686,TED F03 (valoare estimata totala),,DA,Materiale sanitare,33183300,2018-09-04,48,2022-09-04,TED F02 (durata publicata),,contract publicat dupa data expirarii calculate (2022-10-13); durata este probabil subestimata,"data = prima incheiere de contract publicata in TED; cea mai mare valoare totala publicata dintre 7 anunturi de atribuire (din anuntul 689079-2022; valorile pe anunturi pot fi partiale sau cumulative); aceeasi procedura publicata si sub: 232679-2022, 330053-2022, 379165-2022, 481570-2022, 606881-2022, 689079-2022",https://ted.europa.eu/en/notice/-/detail/484837-2020
674325-2021,DA,"Spitalul Universitar de Urgenta Militar Central ""Dr. Carol Davila""",ORTOPROFIL PROD ROMANIA SRL / Otto Bock Servicii Ortopedice SRL,1303857,valoare maxima a acordului-cadru (TED F02 (valoare estimata totala)),567520,TED F03 (suma VAL_TOTAL pe contracte),1303857,TED F02 (valoare estimata totala),,DA,MATERIALE SANITARE ORTOPEDIE pentru ranitii din teatrele de operatii,33141700,2018-09-13,48,2022-09-13,TED F02 (durata publicata),,,unitate militara cu profil de spital; data = prima incheiere de contract publicata in TED; cea mai mare valoare totala publicata dintre 2 anunturi de atribuire (din anuntul 163501-2023; valorile pe anunturi pot fi partiale sau cumulative); aceeasi procedura publicata si sub: 163501-2023,https://ted.europa.eu/en/notice/-/detail/674325-2021
30731-2020,DA,Spitalul Clinic Municipal de Urgenta Timisoara,ALDO ORTOMED SRL / ENLIFE SOLUTIONS SRL / MEDICAL ORTOVIT S.R.L. / MEDICAL TECHNOLOGIES INTERNATIONAL / RUBICON PHARMACEUTICALS SRL / STRYKER ROMANIA S.R.L.,870800,valoare maxima a acordului-cadru (TED F03 (valoare estimata totala)),3206591,TED F03 (II.1.7 valoarea totala a achizitiei),870800,TED F03 (valoare estimata totala),,DA,Acord-cadru furnizare implanturi chirurgicale,33183300,2018-09-27,24,2020-09-27,TED F02 (durata publicata),,valoarea atribuita publicata depaseste de peste 2 ori valoarea maxima/estimata publicata; posibil eroare de publicare,data = prima incheiere de contract publicata in TED; valoarea atribuita publicata depaseste valoarea maxima publicata (asa apar in anunturi),https://ted.europa.eu/en/notice/-/detail/30731-2020
